apartment_code,bed_code,bed_type,toilet_type,current_rate,gender_allowed,bed_status
C21,A1,Single,Common,19500.00,male,Active
C21,A1,Single,Attached,25500.00,male,Active
C21,B1,Double,Attached,15500.00,male,Active
C21,B1,Double,Common,14500.00,male,Active
C21,B2,Double,Attached,15500.00,male,Active
C21,B2,Double,Common,14500.00,male,Active
C21,C1,Double,Common,14500.00,male,Active
C21,C1,Double,Attached,15500.00,male,Active
C21,C2,Double,Attached,15500.00,male,Active
C21,C2,Double,Common,14500.00,male,Active
C21,D1,Single,Common,19500.00,male,Active
C21,D1,Single,Attached,25500.00,male,Active
C24,B1,Triple,Attached,13500.00,female,Active
C24,B2,Triple,Attached,13500.00,female,Active
C24,B3,Triple,Attached,13500.00,female,Active
C24,C1,Double,Attached,15500.00,female,Active
C24,C1,Double,Common,14500.00,female,Active
C24,C2,Double,Common,14500.00,female,Active
C24,C2,Double,Attached,15500.00,female,Active
C31,A1,Single,Common,19500.00,male,Active
C31,A1,Single,Attached,25500.00,male,Active
C31,B1,Double,Attached,15500.00,male,Active
C31,B1,Double,Common,14500.00,male,Active
C31,B2,Double,Common,14500.00,male,Active
C31,B2,Double,Attached,15500.00,male,Active
C31,C1,Double,Common,14500.00,male,Active
C31,C1,Double,Attached,15500.00,male,Active
C31,C2,Double,Common,14500.00,male,Active
C31,C2,Double,Attached,15500.00,male,Active
C31,D1,Single,Common,19500.00,male,Active
C31,D1,Single,Attached,25500.00,male,Active
C34,A1,Single,Attached,25500.00,female,Active
C34,A1,Single,Common,19500.00,female,Active
C34,B1,Double,Common,14500.00,female,Active
C34,B1,Double,Attached,15500.00,female,Active
C34,B2,Double,Attached,15500.00,female,Active
C34,B2,Double,Common,14500.00,female,Active
C34,C1,Double,Common,14500.00,female,Active
C34,C1,Double,Attached,15500.00,female,Active
C34,C2,Double,Attached,15500.00,female,Active
C34,C2,Double,Common,14500.00,female,Active
C41,A1,Single,Common,19500.00,male,Active
C41,A1,Single,Attached,25500.00,male,Active
C41,B1,Double,Attached,15500.00,male,Active
C41,B1,Double,Common,14500.00,male,Active
C41,B2,Double,Common,14500.00,male,Active
C41,B2,Double,Attached,15500.00,male,Active
C41,C1,Double,Attached,15500.00,male,Active
C41,C1,Double,Common,14500.00,male,Active
C41,C2,Double,Common,14500.00,male,Active
C41,C2,Double,Attached,15500.00,male,Active
C41,D1,Single,Common,19500.00,male,Active
C41,D1,Single,Attached,25500.00,male,Active
C42,A1,Single,Attached,25500.00,female,Active
C42,A1,Single,Common,19500.00,female,Active
C42,B1,Double,Attached,15500.00,female,Active
C42,B1,Double,Common,14500.00,female,Active
C42,B2,Double,Attached,15500.00,female,Active
C42,B2,Double,Common,14500.00,female,Active
C42,C1,Double,Common,14500.00,female,Active
C42,C1,Double,Attached,15500.00,female,Active
C42,C2,Double,Attached,15500.00,female,Active
C42,C2,Double,Common,14500.00,female,Active
C43,A1,Single,Attached,25500.00,female,Active
C43,A1,Single,Common,19500.00,female,Active
C43,B1,Double,Attached,15500.00,female,Active
C43,B1,Double,Common,14500.00,female,Active
C43,B2,Double,Common,14500.00,female,Active
C43,B2,Double,Attached,15500.00,female,Active
C43,C1,Double,Attached,15500.00,female,Active
C43,C1,Double,Common,14500.00,female,Active
C43,C2,Double,Attached,15500.00,female,Active
C43,C2,Double,Common,14500.00,female,Active
C44,A1,Single,Attached,25500.00,male,Active
C44,A1,Single,Common,19500.00,male,Active
C44,B1,Double,Attached,15500.00,male,Active
C44,B1,Double,Common,14500.00,male,Active
C44,B2,Double,Common,14500.00,male,Active
C44,B2,Double,Attached,15500.00,male,Active
C44,C1,Double,Attached,15500.00,male,Active
C44,C1,Double,Common,14500.00,male,Active
C44,C2,Double,Attached,15500.00,male,Active
C44,C2,Double,Common,14500.00,male,Active
D11,B1,Single,Common,19500.00,female,Active
D11,B1,Single,Attached,25500.00,female,Active
D11,C1,Double,Attached,15500.00,female,Active
D11,C1,Double,Common,14500.00,female,Active
D11,C2,Double,Common,14500.00,female,Active
D11,C2,Double,Attached,15500.00,female,Active
D11,D1,Triple,Attached,13500.00,female,Active
D11,D2,Triple,Attached,13500.00,female,Active
D11,D3,Triple,Attached,13500.00,female,Active
D12,A1,Single,Common,19500.00,female,Active
D12,A1,Single,Attached,25500.00,female,Active
D12,B1,Double,Attached,15500.00,female,Active
D12,B1,Double,Common,14500.00,female,Active
D12,B2,Double,Attached,15500.00,female,Active
D12,B2,Double,Common,14500.00,female,Active
D12,C1,Double,Attached,15500.00,female,Active
D12,C1,Double,Common,14500.00,female,Active
D12,C2,Double,Attached,15500.00,female,Active
D12,C2,Double,Common,14500.00,female,Active
D15,A1,Executive,Attached,25500.00,male,Active
D21,A1,Single,Common,19500.00,female,Active
D21,A1,Single,Attached,25500.00,female,Active
D21,B1,Double,Common,14500.00,female,Active
D21,B1,Double,Attached,15500.00,female,Active
D21,B2,Double,Common,14500.00,female,Active
D21,B2,Double,Attached,15500.00,female,Active
D21,C1,Triple,Attached,13500.00,female,Active
D21,C2,Triple,Attached,13500.00,female,Active
D21,C3,Triple,Attached,13500.00,female,Active
D41,A1,Single,Common,19500.00,female,Active
D41,A1,Single,Attached,25500.00,female,Active
D41,B1,Double,Common,14500.00,female,Active
D41,B1,Double,Attached,15500.00,female,Active
D41,B2,Double,Attached,15500.00,female,Active
D41,B2,Double,Common,14500.00,female,Active
D41,C1,Double,Common,14500.00,female,Active
D41,C1,Double,Attached,15500.00,female,Active
D41,C2,Double,Attached,15500.00,female,Active
D41,C2,Double,Common,14500.00,female,Active
