apartment_code,room_code,bed_type,capacity,occupied_beds,available_beds,available_bed_codes,current_occupancy_pct,current_revenue,current_rent,recent_occupancy_pct,recent_revenue,recent_vacancy_events,recent_refills,recent_fill_rate,average_vacancy_days_recent,historical_occupancy_pct,historical_revenue,occupant_states,occupant_genders,occupant_occupations,occupant_ages,gender_allowed,bed_status,bed_lifecycle_status,toilet_type,current_rate,bed_codes,lifecycle_status,demand_score
B32,B32-C,Double,2,2,0,,100.0,27100.0,14500.0,97.15,496432.33,3,3,1.0,11.0,98.89,1045302.23,Bihar,male; male,student; student,30.2; 25.0,Male,Active,occupied,Common,14500.0,C1; C2,Active,88.35
B33,B33-A,Single,1,1,0,,100.0,19000.0,19500.0,100.0,368889.62,1,1,1.0,0.0,98.17,787079.5,,male,student,,Male,Active,occupied,Common,19500.0,A1,Active,87.16
B33,B33-B,Double,2,2,0,,100.0,31000.0,15500.0,78.67,453958.61,8,8,1.0,28.1,85.15,1034099.87,,male; male,student; student,22.8; 22.5,Male,Active,occupied,Attached,15500.0,B1; B2,Active,77.64
B33,B33-C,Double,2,0,2,C1; C2,0.0,0.0,14500.0,98.36,478380.42,11,10,0.909,5.8,97.79,1067401.45,,,,,Male,Active,occupied/vacant,Common,14500.0,C1; C2,Active,86.86
B34,B34-A,Single,1,1,0,,100.0,19500.0,19500.0,68.57,249770.04,2,2,1.0,91.0,61.07,498025.62,Rajasthan,male,student,25.0,Male,Active,occupied,Common,19500.0,A1,Active,55.67
B34,B34-B,Double,2,2,0,,100.0,31000.0,15500.0,86.61,494839.03,5,5,1.0,31.0,94.01,1154737.19,,male; male,student; student,26.0; 25.5,Male,Active,occupied,Attached,15500.0,B1; B2,Active,81.05
B34,B34-C,Double,2,2,0,,100.0,28000.0,14500.0,98.19,510758.87,2,2,1.0,10.5,97.6,1109743.76,,male; male,student; student,29.9,Male,Active,occupied,Common,14500.0,C1; C2,Active,89.26
B41,B41-A,Single,1,1,0,,100.0,19500.0,19500.0,100.0,367825.23,1,1,1.0,0.0,96.26,776028.25,,male,student,40.0,Male,Active,occupied,Common,19500.0,A1,Active,87.13
B41,B41-B,Double,2,2,0,,100.0,31000.0,15500.0,85.49,489914.59,9,9,1.0,21.2,91.91,1136251.64,Kerala,male; male,student; student,22.0; 23.0,Male,Active,occupied/vacant,Attached,15500.0,B1; B2,Active,82.37
B41,B41-C,Double,2,1,1,C1,50.0,14500.0,14500.0,77.81,415193.82,6,5,0.833,45.6,77.82,894227.99,Tamil Nadu,male,student,26.0,Male,Active,occupied/vacant,Common,14500.0,C1; C2,Active,68.59
B41,B41-D,Single,1,1,0,,100.0,24000.0,25500.0,100.0,471484.89,1,1,1.0,0.0,98.02,1012352.17,,male,student,,Male,Active,occupied,Attached,25500.0,D1,Active,90.55
B42,B42-A,Single,1,1,0,,100.0,19500.0,19500.0,93.09,342657.69,4,4,1.0,10.0,94.96,771849.54,,male,student,,Male,Active,occupied,Common,19500.0,A1,Active,82.13
B42,B42-B,Double,2,2,0,,100.0,31000.0,15500.0,99.05,521008.54,3,3,1.0,3.7,95.42,994149.15,Chhattisgarh; Karnataka,male; male,student; student,22.0; 21.0,Male,Active,occupied,Attached,15500.0,B1; B2,Active,91.17
B42,B42-C,Double,2,2,0,,100.0,26100.0,14500.0,100.0,499168.86,1,1,1.0,0.0,99.69,1095640.6,,male; male,student; student,31.0,Male,Active,occupied,Common,14500.0,C1; C2,Active,91.46
B43,B43-A,Single,1,1,0,,100.0,19500.0,19500.0,98.27,362335.74,5,5,1.0,2.4,89.54,731429.04,,female,student,24.1,Female,Active,occupied,Common,19500.0,A1,Active,85.93
B43,B43-B,Double,2,1,1,B2,50.0,15500.0,15500.0,94.21,542132.06,8,7,0.875,8.4,95.15,1179517.08,,female,student,23.3,Female,Active,occupied/vacant,Attached,15500.0,B1; B2,Active,86.26
B43,B43-C,Double,2,2,0,,100.0,29000.0,14500.0,86.44,325213.53,6,6,1.0,26.2,88.21,570200.39,Kerala,female; female,student; student,18.0; 17.0,Female,Active,occupied,Common,14500.0,C1; C2,Active,76.31
B44,B44-A,Single,1,1,0,,100.0,19500.0,19500.0,84.8,307756.24,3,3,1.0,29.7,90.31,723774.64,Tamil Nadu,female,student,19.0,Female,Active,occupied,Common,19500.0,A1,Active,74.53
B44,B44-B,Triple,3,3,0,,100.0,40500.0,13500.0,83.77,639635.35,8,8,1.0,13.4,69.49,1228975.03,Kerala; Maharashtra; Telangana,female; female; female,student; student; student,20.0; 19.0; 19.0,Female,Active,occupied,Attached,13500.0,B1; B2; B3,Active,88.22
B44,B44-C,Double,2,2,0,,100.0,28000.0,14500.0,79.27,414701.05,4,4,1.0,63.0,86.95,983794.35,Andhra Pradesh,female; female,student; student,50.0,Female,Active,occupied,Common,14500.0,C1; C2,Active,69.93
C11,C11-A,Single,1,1,0,,100.0,19500.0,19500.0,63.04,231143.23,4,4,1.0,53.5,80.61,650262.81,Delhi,male,student,23.0,Male,Active,occupied,Common,19500.0,A1,Active,60.34
C11,C11-B,Double,2,2,0,,100.0,31000.0,15500.0,98.1,565177.4,4,4,1.0,5.5,94.92,1184474.38,Maharashtra,male; male,student; student,25.0; 27.0,Male,Active,occupied,Attached,15500.0,B1; B2,Active,91.97
