entity_id,risk_score,risk_level,anomaly_score,flags,explanation
63478105-cb45-42c7-a539-896abd5618d4,30.7,Low,0.557,,
df1d62da-3735-4274-b898-260ef96db619,30.7,Low,0.557,,
8f5d7ba9-389f-4c66-9724-0e54abeb3076,30.7,Low,0.557,,
3a808621-2515-4b75-9e29-7b16e340da4f,29.5,Low,0.537,,
15055f35-2f83-4054-97be-d4a5ebe1f0c4,29.3,Low,0.533,,
d04220d8-e0a3-4377-8096-ae6756f1bef7,29.1,Low,0.529,,
9a3018d6-bbfc-4e5c-ac01-173ec34fc8b3,28.9,Low,0.525,,
3babeb92-9e7c-4877-8eea-8b0a471e1e37,28.6,Low,0.52,,
f1d60ec1-4a13-41fa-8c6b-945fd688704c,28.4,Low,0.516,,
8ad4378e-8b51-4c43-8690-81aba71ae42a,28.2,Low,0.512,,
9967095e-fa20-4c7b-8c3f-6bc419b14c46,28.0,Low,0.508,,
77767257-fb83-446b-a520-e59bef8e1d49,27.7,Low,0.504,,
18de1186-ae6c-4ce6-a4b2-4c26de696f57,27.5,Low,0.5,,
196155a4-0a58-41ee-a6d9-d66ad917c414,27.3,Low,0.496,,
b23f3ed6-3bba-4a28-85bc-ebea924f5eb6,27.0,Low,0.492,,
9e43da1d-fd6f-4da2-bde3-6fb9eb6169f4,26.8,Low,0.488,,
cd778700-b2bf-4051-b6b7-2278bcb1bae2,26.6,Low,0.484,,
d6d1e730-b764-4dfc-aeda-759b7c2ab0a9,26.3,Low,0.477,,
980ff08f-01bb-4ec8-846e-87474b79285d,26.3,Low,0.477,,
d0b4578f-a55c-4fce-855e-f5437dce8f0c,25.9,Low,0.471,,
bb3a7a45-bed6-408d-a8f5-6bd712253fb4,25.7,Low,0.467,,
9377cbcd-3030-473f-9941-519310a1135b,25.5,Low,0.463,,
02f56e51-61b4-4122-8c93-d20ad256322d,25.2,Low,0.459,,
9c958763-2d9c-46a4-8f4e-44f491ee63ef,25.0,Low,0.455,,
3622b8e4-8e8f-4264-a33e-ea56373f527d,24.8,Low,0.451,,
1ed7ea1e-919f-4189-ac1c-92fbcc60760a,24.6,Low,0.447,,
e046c6d8-397c-4586-8fdf-c88e78da3ec5,24.3,Low,0.443,,
8ac38fac-21c5-437c-b041-d35aa66d955d,24.0,Low,0.436,,
7a14979e-6e89-4006-9aa2-8705a2f07dfe,24.0,Low,0.436,,
5afb5cb0-85ac-4667-a503-73f76261a726,23.7,Low,0.43,,
dc0331d7-c01e-4d7f-b191-15466d6712c9,23.4,Low,0.426,,
42a93c58-fb3e-4aaf-a63d-91102387a922,23.2,Low,0.422,,
6d139e37-b2c9-41ce-ab61-761b58c50881,23.0,Low,0.418,,
79b14f2a-439d-42a3-973b-c0c8b17d190f,22.8,Low,0.414,,
b057aedf-024a-4f78-bcdf-db0b296060de,22.5,Low,0.41,,
561ea125-de43-46ef-b0b5-c9748b1e06ad,22.3,Low,0.406,,
84b2ced1-debf-4182-b973-054535294fec,22.1,Low,0.402,,
a231cb7f-1f73-4c71-b744-141ab46351ac,21.8,Low,0.395,,
7f86b98d-2ca5-4a44-8c4b-bc89e75d7e89,21.8,Low,0.395,,
6d6df3d5-fc6b-417d-bdba-9b0ef9c1425c,21.3,Low,0.387,,
c6d34ded-032e-40a5-93c1-9762e101bab5,21.3,Low,0.387,,
f2d29075-ee7d-4af7-afd3-3f1d7775d2e6,21.0,Low,0.381,,
ce9964be-389f-4a84-b81c-ea22ddc62eb4,20.7,Low,0.377,,
cd86c5f0-efa9-4bfc-9ecb-7c3230173dcd,20.5,Low,0.373,,
555e98eb-4fe6-4459-8cc7-46924f281dfb,20.3,Low,0.369,,
7f864296-4fea-4704-9363-c0bdd3dcfc31,20.1,Low,0.365,,
4464c94c-a1a3-4658-ae52-805edad1df56,19.8,Low,0.361,,
75d01f7c-1d6c-4526-89a9-cd60de1a0a72,19.6,Low,0.357,,
2ba744f4-1d9d-416a-b710-0883dd5d63fa,19.4,Low,0.352,,
1b18f88c-8f4c-45c1-bf3d-4952c8a321b7,19.2,Low,0.348,,
24eb48f0-199e-4932-9b67-5ec3dd853112,18.9,Low,0.344,,
03a83019-dd0e-4ab1-8e20-d1ad13a04ea8,18.7,Low,0.34,,
7cb3ace3-4480-4aa0-9efe-c9b0134c8624,18.5,Low,0.336,,
ea9ed2e7-fd3d-460a-8927-dc4f167fa2c7,18.0,Low,0.328,,
0dcfad8a-af37-4c71-8097-1d78e2f17a6f,18.0,Low,0.328,,
a84c1a18-cffc-45bf-b987-a85bdf1a6753,18.0,Low,0.328,,
749517a3-bc94-4092-94b6-48c55df52b27,17.5,Low,0.318,,
4f48d094-6bbb-4944-a409-69e8d7e7fb23,17.5,Low,0.318,,
f43c6f19-35a1-4330-9869-01dc2d4d62ef,16.7,Low,0.303,,
4e5f5e33-7af3-47f5-8e05-d3ea5795882e,16.7,Low,0.303,,
65682bd2-39f7-48df-9dcf-132d8853120d,16.7,Low,0.303,,
85bff95a-36d4-4788-bb27-cdbb588024e9,16.7,Low,0.303,,
6bb4484a-8055-40b3-8309-ba92c7a3fb62,16.7,Low,0.303,,
f244be1f-e77c-424a-a9b4-f13e3b9c63a3,15.9,Low,0.289,,
436099db-3a2e-4b9c-984c-ccb958ef972e,15.9,Low,0.289,,
44ee6905-97d0-4e14-843d-55300d23be1d,15.6,Low,0.283,,
c0db2869-f692-4552-a037-2b4b57f03999,15.3,Low,0.279,,
9e83589c-0310-479c-9453-b3da59f7e07d,15.1,Low,0.275,,
9e532a16-590b-4004-9863-8cc0a6c4844a,14.8,Low,0.268,,
6b304c3f-616d-4dd8-ba7b-5c50efebba7d,14.8,Low,0.268,,
3415582a-1981-4e36-9a42-e1fb2f44736a,14.3,Low,0.26,,
08e5cc48-188f-4df9-a3a8-b64c053b1241,14.3,Low,0.26,,
f15d0ff8-209b-4934-92c8-1900afec3fa5,14.0,Low,0.254,,
8ba23bd2-c79d-47f8-bd9a-fce14d69fd65,13.5,Low,0.246,,
544b7073-6afc-400a-bb6d-561234a7664d,13.5,Low,0.246,,
763d357a-c096-4573-bc9f-22c615990521,13.5,Low,0.246,,
4a3f3e80-1c5b-469a-ae3c-e467b3f2bc85,13.1,Low,0.238,,
97ff054f-ebe0-4cfe-8f03-dba72342180a,12.8,Low,0.234,,
5a8e3cf4-9abe-4240-8ecd-307405ee17c3,12.5,Low,0.227,,
913bd3e8-1251-4191-882d-e8ea0cfe6e5b,12.5,Low,0.227,,
a5b9df5f-a304-4e71-ae9a-3ffdf56c2ea3,12.2,Low,0.221,,
3dbc7592-a86c-46d0-b08c-dadf816e376c,11.6,Low,0.211,,
482ebc6b-9875-4f32-b96c-ea193c4fe7ad,11.6,Low,0.211,,
