asset_id,asset_type,purchase_date,asset_age_days,total_tickets,distinct_issue_types,repeat_issue_count,max_same_issue_repeats,avg_resolution_hours,median_resolution_hours,costed_ticket_count,total_cost,avg_cost,expected_cost_gap,last_ticket_date,tickets_per_month,mapping_confidence_summary
a53f936a-4736-41c6-9315-d946a3c071d0,Fan,,,2,1,1,2,4.25,4.25,0,0.0,,,2026-06-30 03:58:55.341297,2.0,High:1|Verified:1
9d364a68-c955-4fe7-8a91-9ed05f2a64a8,Air Conditioner,,,2,1,1,2,80.11,80.11,0,0.0,,,2026-06-29 05:30:13.013791,0.857,Verified:2
b07c2e02-3a06-41d1-a98e-33d3bd2c2fb7,Washing Machine,,,2,1,1,2,39.49,39.49,0,0.0,,,2026-06-06 17:32:51.264990,2.0,Verified:2
b0d336ac-179e-4a18-b540-685c52821a1f,Fan,,,2,1,1,2,151.7,151.7,0,0.0,,,2026-06-23 20:28:41.081737,2.0,High:1|Verified:1
adb3400d-f02f-4df4-9edb-1ae6e142d858,Washing Machine,,,2,1,1,2,345.84,345.84,0,0.0,,,2026-06-20 09:33:24.863843,2.0,Verified:2
9de4f299-90f7-4a53-a8c5-8000e64f1b8c,Air Conditioner,,,2,1,1,2,108.58,108.58,1,2500.0,2500.0,1850.0,2026-07-18 20:57:11.938191,2.0,Verified:2
69cb270b-e8f3-410e-9142-2752016b44f9,Fan,,,2,1,1,2,46.05,46.05,0,0.0,,,2026-06-03 06:53:35.008441,2.0,High:1|Verified:1
6cb27459-de3c-427e-911e-71b60fc9a10c,RO Water Purifier,,,2,1,1,2,65.1,65.1,0,0.0,,,2026-06-20 10:05:14.188519,2.0,Verified:2
63478105-cb45-42c7-a539-896abd5618d4,Fan,,,2,1,1,2,,,0,0.0,,,,2.0,High:2
4bca902d-8716-446e-b3b2-e01da0999fba,Air Conditioner,,,2,1,1,2,16.34,16.34,0,0.0,,,2026-07-31 06:17:18.157811,0.87,Verified:2
656467e0-85ba-45b6-ac40-6fa5e71d0af6,Cupboard,,,2,2,0,1,15.12,15.12,0,0.0,,,2026-04-08 10:55:43.484161,2.0,Verified:2
41b29390-ba7f-498b-accf-cf2f33a2d333,Water Heater,,,2,2,0,1,28.09,28.09,0,0.0,,,2026-06-17 16:41:16.732437,2.0,Verified:2
e033fe7f-dc31-46f7-9723-cce3793a1cca,Air Conditioner,,,2,1,1,2,780.05,780.05,0,0.0,,,2026-04-30 18:31:44.465643,2.0,High:1|Verified:1
e023aafd-324b-46e0-9d1c-4185c31eab44,RO Water Purifier,,,2,1,1,2,16.13,16.13,0,0.0,,,2026-07-15 15:49:55.280412,2.0,Verified:2
e5a1f770-e368-43c8-a5f8-ea8b0a342ded,RO Water Purifier,2025-04-06,486.0,2,1,1,2,32.56,32.56,1,2500.0,2500.0,2200.0,2026-07-02 04:21:41.711962,0.716,Verified:2
ef9a41c0-4e35-474e-ab7b-3ca0833228c2,Fan,,,2,1,1,2,25.01,25.01,0,0.0,,,2026-06-11 06:21:40.259528,2.0,Verified:2
df1d62da-3735-4274-b898-260ef96db619,Fan,,,2,1,1,2,,,0,0.0,,,,2.0,High:1|Verified:1
999d799d-ddf8-4e3e-9913-bf8a20411d21,Air Conditioner,,,2,1,1,2,47.53,47.53,0,0.0,,,2026-06-14 05:50:18.848886,2.0,High:1|Verified:1
8f5d7ba9-389f-4c66-9724-0e54abeb3076,Air Conditioner,,,2,1,1,2,,,0,0.0,,,2026-07-28 11:32:39.349589,2.0,High:1|Verified:1
abdc9198-3b1f-4afa-a372-6366b8627999,Air Conditioner,,,2,1,1,2,,,0,0.0,,,,2.0,High:2
cb8ee2ea-5294-4841-b841-769cb00f5e9a,Water Heater,,,2,2,0,1,308.07,308.07,0,0.0,,,2026-06-17 14:57:12.250560,1.323,Verified:2
c9db82aa-39ec-404f-b045-4c140ea217e5,Fan,,,2,1,1,2,,,0,0.0,,,,2.0,High:2
b9a701c4-e0fd-49c9-aa3a-14ff9e9e30be,Fan,,,2,1,1,2,116.3,116.3,0,0.0,,,2026-05-30 14:19:04.711067,2.0,High:1|Verified:1
bb16fb18-3977-45db-9072-c93a4fbb46c5,Air Conditioner,,,2,1,1,2,35.62,35.62,0,0.0,,,2026-06-30 02:36:34.261274,1.268,Verified:1|High:1
b9946d2d-f501-45d7-a5ac-b01a089c7f80,Fan,,,2,1,1,2,75.51,75.51,0,0.0,,,2026-05-09 15:27:35.320229,2.0,Verified:1|High:1
