entity_id,risk_score,risk_level,anomaly_score,flags,explanation
c1b52572-c0ee-4d6f-8b4b-19e97105217b,63.2,High,0.944,repeated_issue,Repeated issue at this location
49b58c99-5f2f-43ea-aa8e-87a305d018af,63.1,High,0.942,repeated_issue,Repeated issue at this location
3c33e01e-12af-4544-98dd-09399c2c61db,63.0,High,0.941,repeated_issue,Repeated issue at this location
2ccf9bff-aca4-4df0-9b53-338cff2175f1,63.0,High,0.94,repeated_issue,Repeated issue at this location
d07d886a-50cd-43dd-b8a2-efdc5353759b,62.7,High,0.935,repeated_issue,Repeated issue at this location
e61d2cb9-3140-4ef0-b62a-d73a1c750756,62.7,High,0.936,repeated_issue,Repeated issue at this location
bdd973e0-2c3c-4f59-91eb-6b511ab1f88e,62.6,High,0.934,repeated_issue,Repeated issue at this location
4d73f96e-77f8-414a-a140-29330161d3e6,62.6,High,0.933,repeated_issue,Repeated issue at this location
3bbdb1e6-97f8-4bf0-a3da-9ac0e18a1030,62.6,High,0.934,repeated_issue,Repeated issue at this location
00c4b59e-970d-4075-a3b1-5c88a14a036c,62.5,High,0.932,repeated_issue,Repeated issue at this location
9fd43c4c-a469-4f74-8c15-74a116f26187,62.3,High,0.928,repeated_issue,Repeated issue at this location
c357bd0c-ed09-4aed-9e47-2952abc4b848,62.0,High,0.922,repeated_issue,Repeated issue at this location
0fa32228-d1f8-4453-90d2-a0553412b2f1,61.8,High,0.92,repeated_issue,Repeated issue at this location
55cdcc01-d85e-4ef7-86a5-c4ff8547afd3,61.5,High,0.914,repeated_issue,Repeated issue at this location
82050226-2a78-428a-8c04-cca4feae40a3,61.2,High,0.908,repeated_issue,Repeated issue at this location
dda32688-cb21-4683-b49b-1b75f6b72771,60.8,High,0.895,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 0.1h vs 25.8h typical for Electrical Issues
ede434ad-c70c-40a2-9485-b640ab90663c,60.4,High,0.894,repeated_issue,Repeated issue at this location
3452ef1d-d432-41d4-879e-15bc3ffea536,60.3,High,0.892,repeated_issue,Repeated issue at this location
6c91a465-4e6a-4e33-a064-54bbec48228c,60.1,High,0.888,repeated_issue,Repeated issue at this location
2c290b85-57fd-4fca-8a21-5f6dab2423bf,60.1,High,0.889,repeated_issue,Repeated issue at this location
74d1e3cf-ee76-4d50-8896-05503b3b9e0f,60.0,High,0.886,repeated_issue,Repeated issue at this location
8d75fa92-677d-4efd-ab0f-c81b150830e1,59.9,High,0.885,repeated_issue,Repeated issue at this location
7a34f85d-6bcf-47c5-a0e3-2b6bc3123ff4,59.6,High,0.879,repeated_issue,Repeated issue at this location
3c18ed0c-e9be-4828-9078-59cfa6e3179f,59.5,High,0.878,repeated_issue,Repeated issue at this location
ec7dd572-aa06-43eb-8cf4-469684996ac1,58.6,High,0.86,repeated_issue,Repeated issue at this location
6fe04578-66d9-4f36-a50d-df7ac49d7c3e,58.5,High,0.859,repeated_issue,Repeated issue at this location
de3748e9-f438-493b-9322-b16d547efa5c,58.2,High,0.854,repeated_issue,Repeated issue at this location
dc2e91e2-69aa-4915-a6dd-b84ead36f658,58.2,High,0.809,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 2.5h vs 51.8h typical for AC Issues
313e7f25-536e-4c44-bcbc-aeeed7545253,57.9,High,0.849,repeated_issue,Repeated issue at this location
ecfd4173-3aef-4da2-8aa5-f03fe01f639e,57.5,High,0.842,repeated_issue,Repeated issue at this location
c94b4387-b104-49de-a22d-136c17203559,57.4,High,0.838,repeated_issue,Repeated issue at this location
8a21f623-e774-4f1e-ab8c-83fbcc18c810,57.3,High,0.836,repeated_issue,Repeated issue at this location
7f5ea07a-701f-4fd0-8473-2918e35dd085,57.0,High,0.832,repeated_issue,Repeated issue at this location
b6252b1a-ee47-4f4d-8e22-212452907c29,57.0,High,0.832,repeated_issue,Repeated issue at this location
91dbe4c0-bd94-4588-a0a2-ad0961eda292,56.9,High,0.83,repeated_issue,Repeated issue at this location
